GeneID,meanExpr,log2FC,log2FC SE,p-value,adjpvalue
27286,8.25363396179963,-0.726829615037709,0.156457353448277,0.000246640169612817,0.0428861271196253
60676,6.44254496074191,0.594904344764245,0.128264882039567,0.000249995146612058,0.043104205194842
23108,8.45531379452272,-0.615956288226474,0.133042918800658,0.000253804848816578,0.0432806387946533
85285,7.80360623570142,0.725693645037672,0.156850567203759,0.000255237220691737,0.0432806387946533
119180,4.62384050212611,0.992594860178392,0.215352603773844,0.000263481735309913,0.0443124446318754
26539,5.56987249173448,0.777523742879757,0.169828054594688,0.000278715871544679,0.0464934329459653
8702,8.40325829338046,-0.684790663746119,0.150088156162392,0.000286824276893669,0.0470948205872622
3161,8.20509225108758,-0.896131115733096,0.196415616225049,0.000286911617770142,0.0470948205872622
9770,10.3230334407772,-0.671363353779775,0.147329640069759,0.000289832809262872,0.0471967427020287
899,8.62248731929478,-0.651872083681335,0.143393457735586,0.000295636075025595,0.0477626849399619
4543,7.79183736908234,-0.595319327497596,0.132069778212077,0.000317208970877484,0.0505700017793065
6769,7.44720630342982,-0.633248295208257,0.140632157581179,0.000319983906140546,0.0505700017793065
4923,7.66431268421975,-0.583194321317093,0.129647525625664,0.000322678145100167,0.0505700017793065
51025,9.48585205469551,0.900198341033688,0.200190099093686,0.000323621932483152,0.0505700017793065
646962,7.17961799529635,0.629689753110857,0.14013841357402,0.000325636777624038,0.0505700017793065
441051,9.44223457794712,1.36067304066719,0.303101366137468,0.000328145611805659,0.0505700017793065
100996325,8.37590706154692,0.962919206991049,0.214698962269612,0.000330687735990088,0.0505700017793065
497049,6.30055415862121,0.807050907741783,0.180079822153198,0.000332729809933053,0.0505700017793065
8989,8.24053999404377,-0.759907343234878,0.169721790893866,0.00033534859359367,0.0505932532599627
1497,9.92413891305868,0.747237054586938,0.167091904688206,0.000338674668561377,0.0507220937922798
2495,9.14747834063778,0.773386777072842,0.173618941135896,0.000349784727005834,0.052006398758737
4842,6.71339736253348,-0.604362036668629,0.136110386040818,0.000359126088935548,0.053011144552371
6236,6.82222908383276,0.588877574282177,0.133694496450266,0.000383574964595381,0.0558421537784299
4792,11.5775542976683,0.596745371581573,0.135500449806962,0.000384030767987473,0.0558421537784299
26032,8.45751951338354,0.621345740152323,0.141195809666539,0.000386469725925385,0.0558421537784299
150468,9.65580666271006,-0.738336468211561,0.168037007877085,0.00039130647714321,0.0561331585197956
25939,8.53666077555295,0.71504960743342,0.162893978042656,0.000394390447131478,0.0561331585197956
100128398,6.51542982579106,0.664747170352275,0.151542829190782,0.00039669109978411,0.0561331585197956
28755,5.56205041301741,1.96714346630358,0.448966123103712,0.000400417429000092,0.0562723617001636
645745,8.79883631374975,0.658923111170772,0.15054525694552,0.000403844362977183,0.0563678819018085
2879,12.0372791645898,-0.646140471077965,0.148269155721369,0.000418390660047199,0.057487153404038
430,7.49316029990251,0.628138812108055,0.144227582047237,0.000420496899148871,0.057487153404038
4791,10.8459799183812,0.766129656547516,0.17609925754633,0.000424144039091907,0.057487153404038
9232,9.11540083808483,-0.837856857747315,0.192730708603066,0.000426730742068396,0.057487153404038
9455,8.62129127048472,-0.698873293146512,0.160807616739352,0.000427743542147277,0.057487153404038
23564,8.1751832074441,-0.566677626443958,0.130424971213181,0.000428674065250892,0.057487153404038
29841,7.24255805324432,0.655678905473358,0.151158751250614,0.000434444957016313,0.0577015208117128
50486,8.63441180506922,0.587653207791103,0.135532148027781,0.000435897052627716,0.0577015208117128
241,8.64474507919989,0.798578710272199,0.184695774228449,0.000445890652732612,0.0586460539279983
137835,5.02670867211448,-0.974725267517895,0.226054205213375,0.000455868174079367,0.0593583576830738
121599,4.37089963183008,0.93120835802773,0.216033802822856,0.00045709233423948,0.0593583576830738
29881,7.14092311163787,0.691480517217014,0.160948325464803,0.000469388031086819,0.0602365907151936
100130691,6.67281862184847,-0.827674359282908,0.192795601717168,0.000472274861372205,0.0602365907151936
6335,8.78399070653845,-0.734584926608864,0.171254295559507,0.000475448400729857,0.0602365907151936
326342,6.05653270278016,0.669923932478255,0.156185963055927,0.00047559838658063,0.0602365907151936
7711,6.94956080766775,0.715440413473676,0.167354072092761,0.000488484732903022,0.0613052695815684
5021,9.70703432358238,-0.740869421827432,0.17349752913687,0.000492912287720396,0.0613052695815684
9055,11.2701241819078,-0.547438164725484,0.128202446573399,0.000492999779752354,0.0613052695815684
81610,10.2879525127053,-0.573435900267372,0.134464010136601,0.000498117952378907,0.0615685791982555
4133,7.09163487767629,-0.556747315883333,0.130649970583033,0.000501157303091697,0.061573326615781
4498,8.33625055672305,0.614332534425266,0.144279405454971,0.000504396199362054,0.0616023882054204
83698,5.84495216222423,0.608648609206835,0.143444647193993,0.000518672538563548,0.0629711428772005
387680,11.4452581263436,0.653416915243568,0.154296731751143,0.000526821232084048,0.0631731128152932
55016,5.24074589681481,0.609242123436997,0.143904932799563,0.000527977174912752,0.0631731128152932
653567,7.39912277991291,0.712988384144587,0.168473904735917,0.000529572833815695,0.0631731128152932
528,10.3869158213903,0.679307443589876,0.160824581088041,0.00053775321956506,0.0637781535204387
3699,6.61318299204217,0.564081015816294,0.133861095804748,0.000547961863090418,0.0641522439072399
3684,7.74832505459502,0.687062886931955,0.163101763660756,0.000549460703727802,0.0641522439072399
3655,11.2896890608158,-0.605330053386323,0.143726406588006,0.00055028730517956,0.0641522439072399
115196,6.42333289686402,0.598332231588997,0.142239906599094,0.000555694916304527,0.0644166570211089
51327,5.57646336809482,0.57616856689042,0.137262430017746,0.000565144920089404,0.0648291679352543
83656,5.67130184752746,0.760842040582608,0.181332486118612,0.00056699442120122,0.0648291679352543
285033,7.15070605635164,-0.713443414912914,0.170101582151634,0.000568732343715068,0.0648291679352543
64405,7.61459087728641,0.499165893641907,0.119397569726757,0.000583451636664015,0.0661395617738799
10630,7.21187200512852,0.632577920018645,0.152159145563945,0.000609838813464878,0.0687509493113866
7185,7.71480515832476,0.693935998680336,0.167629081724651,0.000630581669923292,0.0707009546638585
55355,10.8502608019138,-0.54182133018193,0.131104499264159,0.000638979978166337,0.0710611133756302
26298,8.96944478070107,0.542021410438648,0.131198375578073,0.000640720634296305,0.0710611133756302
7410,9.35609833184563,-0.535638187383432,0.130126450848163,0.000659281101858814,0.0723527064983981
51196,10.5328206727704,-0.510951295140311,0.124132398126884,0.000659418857354539,0.0723527064983981
147841,8.67988230402521,-0.555544032870561,0.135195145855925,0.000668233981046333,0.0727618621312943
3934,9.01992171650278,-1.02041532073336,0.248419724568584,0.000670240371518405,0.0727618621312943
8572,7.50994459665762,0.576854287275862,0.140841630758534,0.000685552875968565,0.073921027427317
130540,6.58252561883223,-0.622841554646397,0.152142585238544,0.000688123415470199,0.073921027427317
1825,7.08511206894087,-0.782166928731624,0.191342336691498,0.000696057240978446,0.0743838670333112
6979,4.88328262642782,1.14673815731994,0.281462852164233,0.000714327852036961,0.0758697916353431
1520,7.1823735796624,0.546174025884141,0.134129474186622,0.000717357421642293,0.0758697916353431
5583,9.34943916232864,0.656033255761514,0.161237504404655,0.000721826898803618,0.0759509964597571
9620,9.65575019283703,-0.812693150039843,0.199996394155666,0.000729032433735607,0.0763177932417713
285830,8.07097486323828,0.503896231865476,0.12415413760064,0.000735898308632342,0.0766454898300426
8793,11.3921326219728,0.725061943549251,0.17907583388478,0.000749710847168011,0.0776897331423902
8349,9.69477717181687,0.616855826609026,0.152578653620419,0.00075842477827474,0.0779722724478612
9413,8.04097155294405,0.890043910962488,0.22021189929521,0.00076003774683557,0.0779722724478612
5205,9.82732559535931,-0.592938554793415,0.146941515256529,0.000769644918155342,0.0785650469189617
51066,7.44235881376316,0.644603090743855,0.159993307922784,0.000778935499866465,0.0788195613754695
344148,7.64644154520481,-0.73120285332694,0.18151446432669,0.000779821179414188,0.0788195613754695
1556,4.79662609355866,1.35534531889356,0.337034650610133,0.000790298379837341,0.0794869713603067
285296,9.64956867114478,0.784241045530431,0.195391840966032,0.000802055745446527,0.08027599895157
10808,11.8050013789029,0.625261914974793,0.156082059093572,0.000813999905179617,0.0807411365090695
79733,8.35844459451397,-0.709735795611745,0.1771852161414,0.000814573314035354,0.0807411365090695
4957,9.87107532678782,-0.494130196229531,0.123589204639232,0.000826310547234028,0.0814265404992525
55584,5.60370349074005,0.731156554627089,0.182962580202068,0.000829425234640012,0.0814265404992525
338657,9.86584400257388,0.577389568561321,0.144747666503663,0.000841095594482207,0.0821790447980282
407037,8.17177798148295,0.76933968082087,0.193259753798087,0.000854269133142923,0.0830705880276137
8503,8.50176981453534,0.859307829459246,0.216231243086167,0.000865581260988774,0.0832703986174625
3936,8.27342950798845,0.795343543494366,0.200142233815585,0.000865799417670515,0.0832703986174625
8458,9.02945928283729,-0.461094030610878,0.116078091129243,0.000868499137544447,0.0832703986174625
729830,7.39001564336868,0.837715594282519,0.211214271758852,0.000878737884953582,0.0837501323701304
140468,8.54478297373209,-0.534709092782382,0.134875598234111,0.000881666273123509,0.0837501323701304
9080,8.28028157405143,0.509721737872487,0.128683588112586,0.000887485528759563,0.0839144151110079
105373042,5.875800450994,-1.04572237406797,0.264665657054126,0.000904655473354329,0.0848321062798006
280659,8.99212623201507,0.66033305127088,0.167145581533917,0.000905460145982861,0.0848321062798006
113675,9.67702495473679,-0.55565288929315,0.140753380057185,0.00091061072077244,0.0849268671309497
339965,4.37021494665816,0.55551137883552,0.140878071242707,0.000918549096961051,0.085279594440936
7430,11.63021001062,-0.584319464227713,0.148544328202833,0.000935677163820896,0.0860468294269354
7098,8.14925670403078,0.638944534697282,0.162539029227222,0.000940414692872471,0.0860468294269354
643664,7.07377475497104,0.578123497906793,0.147096335228344,0.000941841763720083,0.0860468294269354
340359,6.31816656570371,0.498643994460335,0.126904721970653,0.000943587904330854,0.0860468294269354
